video_id,contestant,question,options,correct_answer,contestant_answer,category,level,amount,joker_used,is_correct,eliminated
-hUVwDxK2G8,Contestant_003,Hangisi baharatların da üzerine dökülmesiyle servis edilen bir yiyecektir,"['A greyf dilim erişte', 'B avokado dilim makarna', 'C kivi dilim pilav', 'D elma dilim patates']",D,D,Genel Kültür,2,0.0,yok,True,False
-hUVwDxK2G8,Contestant_003,genellikle denizde veya havuzda oynanan suda Ayakta kalan iki kişinin omuzlarında duranların karşı takımdakileri suya devirmeye çalıştığı güreş oyunu adını hangisinden alır,"['A deve', 'B kirpi', 'C Çekirge', 'D karınca']",A,A,Genel Kültür,3,0.0,yok,True,False
-hUVwDxK2G8,Contestant_003,tekerlemeye göre çatalcada çatal yapıp çatal satan hangisidir,"['A şoför', 'B Çoban', 'C noter', 'D Muhtar']",B,B,Genel Kültür,4,0.0,yok,True,False
-hUVwDxK2G8,Contestant_003,metal dişlerin oturduğu tahtadan bir tabanı bulunan ve başparmak piyanosu da denen Afrika kökenli çalgı hangisidir,"['A vuvuzela', 'B Bongo', 'C kalimba', 'D']",C,C,Müzik,5,0.0,telefon,True,False
-hUVwDxK2G8,Contestant_003,Fransız yazar standın hangi atta bir romanı vardır,"['A sarı ve lacivert', 'B siyah ve beyaz', 'C sarı ve kırmızı', 'D kırmızı ve siyah']",D,D,Edebiyat,6,0.0,seyirci,True,False
-hUVwDxK2G8,Contestant_003,Dinlediğiniz Jump in the line adlı şarkıyı seslendiren kimdir,"['A Harry b fonte', 'B Frank snra', 'C Ray Charles']",A,A,Müzik,7,0.0,yarı_yarıya,True,False
-hUVwDxK2G8,Contestant_003,şu anda hayatta olan Harrison R tyler'ın babasının babası olan eski Amerika Birleşik Devletleri başkanı hangi yıl doğmuştur,"['A 1790', 'B 1840', 'C 1890', 'D 1940']",A,D,Tarih,8,0.0,çift_cevap,False,True
-hUVwDxK2G8,Contestant_004,hangisi yanan maddelerin veya gazların türlü biçimlerdeki Işıklı uzantısıdır,"['A Alev', 'B dalga', 'C gölge', 'D Yıldız']",A,A,Genel Kültür,1,0.0,yok,True,False
-hUVwDxK2G8,Contestant_004,geçiş talebiniz alınmıştır lütfen şeklinde başlayan anonsun devamı genellikle nasıl olur,"['A kırmızı ışıkta geçiniz', 'B sarı ışığı beklemeyiniz', 'C yeşil ışığın yanmasını bekleyiniz', 'D Dünyanın Rengine kanmayın']",C,C,Genel Kültür,2,0.0,yok,True,False
-hUVwDxK2G8,Contestant_004,nokta çizgi açı yüzey ve cisimlerin birbirleriyle ilişkilerini ölçümlerini özelliklerini inceleyen matematik dalı hangisidir,"['A Optik', 'B gastronomi', 'C anatomi', 'D geometri']",D,D,Matematik,3,0.0,yok,True,False
-hUVwDxK2G8,Contestant_004,hala kelimesinin Türk dil kurumu güncel Türkçe sözlükteki tanımına göre bir kişi halasının çocuğunun nesi olur,"['A amcasının çocuğu', 'B halasının çocuğu', 'C dayısının çocuğu', 'D teyzesinin çocuğu']",C,C,Genel Kültür,4,0.0,yok,True,False
-hUVwDxK2G8,Contestant_004,Dinlediğiniz sözü ve müziği de kendisine ait olan ilk öğretmen adlı şarkıyı seslendiren kimdir,"['A İlhan İrem', 'B Ali Rıza Binboğa', 'C İzzet altın beşe', 'D Ferhat Güzel']",B,B,Müzik,5,0.0,seyirci,True,False
-hUVwDxK2G8,Contestant_004,Ant dağlarına tırmanan bir Dağcı hangi kıtadadır,"['A Afrika', 'B Avustralya', 'C Amerika', 'D Asya']",C,C,Coğrafya,6,0.0,yok,True,False
-hUVwDxK2G8,Contestant_004,Hangisi Kartal Tibet'in Yönetmenlik yaptığı ilk filmdir,"['A Tosunpaşa', 'B eşkıya', 'C Hababam Sınıfı', 'D Selvi Boylum Al Yazmalım']",A,A,Sanat,7,0.0,telefon,True,False
-hUVwDxK2G8,Contestant_004,Birleşmiş Milletler Ticaret ve Kalkınma Konferansı hesaplamalarına göre 2022'de insan nüfusunun yaklaşık yüzde kaçı şehirde yaşamıştır,"['A 27', 'B 37', 'C 47', 'D 57']",D,C,Genel Kültür,8,0.0,yarı_yarıya,False,True
-hUVwDxK2G8,Contestant_004,Azerbaycan dilindeki adı çerşenbe akşamı olan günün Türkiye türkçesindeki adı nedir,"['A Pazartesi', 'B salı', 'C Çarşamba', 'D Perşembe']",B,B,Genel Kültür,9,0.0,yok,True,False
-hUVwDxK2G8,Contestant_004,Fodor Dostoyevski'nin yazdığı Suç ve Ceza adlı romanda baş karakter raskolnikov Roman boyunca kaç cinayet işlemiştir,"['A 1', 'B 2', 'C 3', 'D 4']",B,,Edebiyat,10,0.0,yok,False,True
-hUVwDxK2G8,Contestant_005,ütülenen genellikle hangisi olur,"['A giyisiler', 'B akıllı telefonlar', 'C oyuncaklar', 'D şerbet tatlılar']",A,A,Genel Kültür,1,0.0,yok,True,False
-hUVwDxK2G8,Contestant_005,çıtır çıtır nasıl yiyecekler için söylenen bir sözdür,"['A çok tatlı Bayık', 'B çok taze gevrek', 'C çok acı yakıcı', 'D çok tuzlu bunaltıcı']",B,B,Genel Kültür,2,0.0,yok,True,False
-hUVwDxK2G8,Contestant_005,futbolda kimler gol kralı olur,"['A en fazla gol atanlar', 'B en az gol atanlar', 'C en fazla gol yiyenler', 'D en az gol diyenler']",A,A,Spor,3,0.0,yok,True,False
-hUVwDxK2G8,Contestant_005,Dinlediğiniz Aşk Mı Lazım adlı şarkıyı seslendiren kimdir,"['A Kubat', 'B Ege', 'C Çelik', 'D Buray']",D,D,Müzik,4,0.0,yok,True,False
-hUVwDxK2G8,Contestant_005,sağlığa kavuşturmak iyileştirmek iyi etmek tedavi etmek anlamlarına gelen kelime hangisidir,"['A sağmak', 'B sağlamak', 'C sağaltmak', 'D sağlat makak']",C,D,Genel Kültür,5,0.0,yok,False,True
-hUVwDxK2G8,Contestant_006,hangisi kat kat üst üste anlamına gelen bir ikilemedir,"['A lavaş lavaş', 'B Katmer Katmer', 'C çörek çörek', 'D Gözleme gözleme']",B,B,Genel Kültür,1,0.0,yok,True,False
-hUVwDxK2G8,Contestant_006,insanlar hangi dönemlerinde Ken diğerlerine göre genellikle daha da olgunlaşmış olurlar,"['A bebeklik', 'B çocukluk', 'C ergenlik', 'D yetişkinlik']",D,D,Genel Kültür,2,0.0,yok,True,False
-hUVwDxK2G8,Contestant_006,satıra sığmayan kelimeler bölünürken satır sonuna konulan hangisi olur,"['A denden', 'B parantez', 'C Tire', 'D ünlem']",C,A,Genel Kültür,3,0.0,yok,False,True
-hUVwDxK2G8,Contestant_007,matkap genellikle neye yarar,"['A ör Örmeye', 'B saç şekillendirmeye', 'C delik açmaya', 'D enstrüman çalmaya']",C,C,Genel Kültür,1,0.0,yok,True,False
-hUVwDxK2G8,Contestant_007,matematik derslerinde denklem çözülürken eşitliğin iki farklı tarafında toplananlar genellikle hangisi olur,"['A bilinenler ve bilinmeyenler', 'B sevenler ve sevilenler', 'C Hayal edilenler ve gerçekte olanlar', 'D görünenler ve görmezden Gelinler']",A,A,Matematik,2,0.0,yok,True,False
-hUVwDxK2G8,Contestant_007,hangisi sözlükle tanımı olan bir ifade değildir,"['A karınca sabrı', 'B eşek inadı', 'C deve kini', 'D ornitorenk nezaketi']",D,D,Genel Kültür,3,0.0,yok,True,False
-hUVwDxK2G8,Contestant_007,spor haberlerinde 20-0 hükmen galip Sayıldı şeklinde sözü edilen Muhtemelen hangi dalda mücadele eden bir takımdır,"['A basketbol', 'B futbol', 'C tenis', 'D voleybol']",A,A,Spor,4,0.0,yarı_yarıya,True,False
-hUVwDxK2G8,Contestant_007,Dinlediğiniz adlı şarkıyı seslendiren grup hangisidir,"['A The Rolling Stones', 'B the Who', 'C the Moody Blues', 'D The Beatles']",D,D,Müzik,5,0.0,seyirci,True,False
-hUVwDxK2G8,Contestant_007,Anadolu Hisarı hangi Osmanlı padişahı tarafından yaptırılmıştır,"['A Yavuz Sultan Selim', 'B Kanuni Sultan Süleyman', 'C Yıldırım bayazit', 'D Fatih Sultan Mehmet']",C,C,Tarih,6,0.0,yok,True,False
-hUVwDxK2G8,Contestant_007,hangi romanın yazarı Kemal Tahir değildir,"['A Yorgun Savaşçı', 'B Bereketli Topraklar Üzerinde', 'C Esir Şehrin İnsanları', 'D Devlet Ana']",B,B,Edebiyat,7,0.0,yok,True,False
-hUVwDxK2G8,Contestant_007,hangi kelimenin eş anlamlısı beldedir,"['A ilçe', 'B vilayet', 'C kasaba', 'D semt']",C,A,Genel Kültür,8,0.0,çift_cevap,False,True
-hUVwDxK2G8,Contestant_008,mezuniyet törenlerinde öğrencilerin elinde rulo haline getirilip genellikle hangisiyle bağlanmış temsili diplomalar olur,"['A çekme halatı', 'B kar zinciri', 'C triger kayışı', 'D Kırmızı Kurdele']",D,D,Genel Kültür,1,0.0,yok,True,False
-hUVwDxK2G8,Contestant_008,hangisi çok sinirlenmek anlamına gelen bir deyimdir,"['A interneti gitmek', 'B suyu kesilmek', 'C sigortası atmak', 'D telefonu kapanmak']",C,C,Genel Kültür,2,0.0,yok,True,False
-hUVwDxK2G8,Contestant_008,futbolda oyuncuların sakatlanmamak için giydiği tekmeliği üstüne çektiği çorap hangi atla bilinir,"['A Kumluk', 'B tozluk', 'C çimlik', 'D Topraklık']",B,B,Spor,3,0.0,seyirci,True,False
-hUVwDxK2G8,Contestant_008,Türkiye'de 29 Mayıs'ta kutlanan özel gün hangisidir,"['A Öğretmenler Günü', ""B İstiklal Marşı'nın kabulü"", 'C Çanakkale deniz zaferi', ""D İstanbul'un fethi""]",D,D,Tarih,4,0.0,yok,True,False
-hUVwDxK2G8,Contestant_008,Dinlediğiniz Bir Başka Sevgiliyi Sevemem adlı şarkıyı Hüner Coşkuner le birlikte seslendiren şarkının bestecisi de olan kimdir,"['A Erol Büyükburç', 'B tanj Okan', 'C İsmail Yek', 'D Alpay']",A,B,Müzik,5,0.0,yok,False,True
-PpCAT73h2g,Contestant_009,Sözü fazla ve gereksiz yere uzatma demek için kullanılan ve Aydın havası olsun şeklinde biten şaka sözün başı nasıldır?,"['A) Uzun bırak', 'B) Geniş tut', 'C) Kısa kes', 'D) Dolaylı anlat']",C,C,Genel Kültür,1,2000.0,yok,True,False
-PpCAT73h2g,Contestant_009,Kart oyunları oynamakta kullanılan genellikle hangisi olur?,"['A) İkametgah kağıdı', 'B) Hüsnü hal kağıdı', 'C) Kafa kağıdı', 'D) İskambil kağıdı']",D,D,Genel Kültür,2,5000.0,yok,True,False
-PpCAT73h2g,Contestant_009,Kandaki zararlı maddeleri süzen omurganın sağ ve sol yanında bulunan çift organdan her birine verilen ad nedir?,"['A) Karaciğer', 'B) Böbrek', 'C) Bağırsak', 'D) Kalp']",B,B,Bilim,3,7500.0,seyirci,True,False
-PpCAT73h2g,Contestant_009,Sisteminde 10'un küpü ve 10'un karesinin toplamı hangisine eşittir?,"['A) 1100', 'B) 1010', 'C) 1110', 'D) 1111']",A,A,Matematik,4,10000.0,yok,True,False
-PpCAT73h2g,Contestant_009,Dinlediğiniz İstemiyorum Baba adlı şarkıyı seslendiren kimdir?,"['A) Hande Yener', 'B) Ayşegül Aldinç', 'C) Rüya Ersavcı', 'D) Güllü']",C,C,Müzik,5,20000.0,telefon,True,False
-PpCAT73h2g,Contestant_009,Hangisi Narnia Günlükleri adlı film serisinin bölümlerinden birinin adıdır?,"['A) Azkaban Tutsağı', 'B) Cinayet’in Dönüşü', 'C) Aslan, Cadı ve Dolap', 'D) Fatih’in Fedaisi']",C,C,Sanat,6,30000.0,yok,True,False
-PpCAT73h2g,Contestant_009,Hangisinin diğer adı pislik böceğidir?,"['A) Bok böceği', 'B) Turgan böceği', 'C) Sümüklü böcek', 'D) Mayıs böceği']",A,A,Bilim,7,50000.0,yok,True,False
-PpCAT73h2g,Contestant_009,Bulunan ve iki ucuna birer kişinin oturup karşılıklı olarak havada yükselip inmesini sağlayan aracın adının doğru yazılışı hangisidir?,"['A) taht valli', 'B) Tahterevalli', 'C) tah terelelli', 'D) Tahterevalli']",D,D,Genel Kültür,8,100000.0,"yarı_yarıya, çift_cevap",True,False
-PpCAT73h2g,Contestant_009,"Filmin senaristine göre Türkan Şoray, 'Selvi Boylum Al Yazmalım' filminin nasıl bitmesi konusunda senaristi ve yönetmeni ikna etmeye çalışmıştır?","[""A) Asya'nın İlyas'ı seçmesiyle"", ""B) Cemşid'in kötü adama dönüşmesiyle"", ""C) Asya'nın çocuğunu alıp gitmesiyle"", ""D) İlyas'ın intihar etmesiyle""]",A,C,Sanat,9,200000.0,yok,False,True
-PpCAT73h2g,Contestant_010,Hangisi herhangi bir işi bıraktırmak için söylenen bir sözdür?,"['A) Fiskos', 'B) Lodos', 'C) Termos', 'D) Paydos']",D,D,Genel Kültür,1,2000.0,yok,True,False
-PpCAT73h2g,Contestant_010,Galatasaray taraftarının söylediği '4 sene üst üste şampiyon olduk' şeklinde başlayan tezahüratın devamı nasıldır?,"[""A) Afrika'nın Kontu olduk"", ""B) Asya'nın Lordu olduk"", ""C) Avrupa'nın Kralı olduk"", ""D) İstanbul'un Sefiri olduk""]",C,C,Spor,2,5000.0,yok,True,False
-PpCAT73h2g,Contestant_010,Hangisi 'çeyrek' kelimesinin anlamlarından biridir?,"['A) Bir saatlik zaman', 'B) 45 dakikalık zaman', 'C) Yarım saatlik zaman', 'D) 15 dakikalık zaman']",D,D,Genel Kültür,3,7500.0,yok,True,False
-PpCAT73h2g,Contestant_010,Hangisi hem Belçika'nın başkentinin hem de bir lahana çeşidinin adıdır?,"['A) Bükreş', 'B) Brüksel', 'C) Amsterdam', 'D) Varşova']",B,B,Coğrafya,4,10000.0,yok,True,False
-PpCAT73h2g,Contestant_010,1958'de vizyona giren 'Fortunella' adlı filme ait dinlediğiniz müziğin başka bir versiyonu 1972'de vizyona giren hangi filmin müziği olmuştur?,"['A) Rocky', 'B) Otomatik Portakal', 'C) Baba', 'D) Taksi Şoförü']",C,C,Müzik,5,20000.0,yok,True,False
-PpCAT73h2g,Contestant_010,Türkçede hangi harfle başlayan kelime sayısı daha azdır?,"['A) J harfi', 'B) Ü harfi', 'C) L harfi', 'D) I harfi']",A,A,Edebiyat,6,30000.0,seyirci,True,False
-PpCAT73h2g,Contestant_010,Hangi ikisi keten tohumunun diğer adlarıdır?,"['A) Bezir ve Zeyrek', 'B) İsot ve Kişniş', 'C) Kakule ve Zahter', 'D) Mahlep ve Muskat']",A,C,Bilim,7,50000.0,telefon,False,True
-PpCAT73h2g,Contestant_011,Genellikle yüzün hangi bölgesine makyaj malzemesi sürülmez?,"['A) Dudaklara', 'B) Kirpiklere', 'C) Göz bebeklerine', 'D) Yanaklara']",C,C,Genel Kültür,1,2000.0,yok,True,False
-PpCAT73h2g,Contestant_011,Hangisini iyi derecede yapabilmek için el çabukluğu gelişmiş biri olmak gerekir?,"['A) Tenis hakemliği', 'B) Sihirbazlık', 'C) Radyo spikerliği', 'D) Futbolculuk']",B,B,Genel Kültür,2,5000.0,yok,True,False
-PpCAT73h2g,Contestant_011,Çekilmemiş veya dövülmemiş kahveye ne ad verilir?,"['A) Leblebi kahve', 'B) Nohut kahve', 'C) Çekirdek kahve', 'D) Kaju kahve']",C,C,Genel Kültür,3,7500.0,yok,True,False
-PpCAT73h2g,Contestant_011,Hangisi bir atasözüdür?,"['A) Yosun tutan su akar', 'B) Yosun tutmayan su akmaz', 'C) Akan su yosun tutar', 'D) Akan su yosun tutmaz']",D,D,Edebiyat,4,10000.0,seyirci,True,False
-PpCAT73h2g,Contestant_011,Dinlediğiniz 'Ara Ara' adlı şarkıyı seslendiren grup hangisidir?,"['A) İzel-Çelik-Ercan', 'B) Aykut-Hak-Ayşe', 'C) Mazhar-Fuat-Özkan', 'D) Nükhet-Ayşe-Umay']",C,C,Müzik,5,20000.0,yok,True,False
-PpCAT73h2g,Contestant_011,"Şişman değilim, iri kemikliyim hatırlatmasını sıkça yapan South Park animasyon dizisinin ana karakteri hangisidir?","['A) Charlie Brown', 'B) Richie Rich', 'C) Eric Cartman', 'D) Ash Ketchum']",C,C,Sanat,6,30000.0,"telefon, yarı_yarıya",True,False
-PpCAT73h2g,Contestant_011,İlerlediğinizde 159 km sonra 'Ordu' tabelasını göreceğiniz il hangisidir?,"['A) Sivas', 'B) Samsun', 'C) Gümüşhane', 'D) Artvin']",B,B,Coğrafya,7,50000.0,yok,True,False
-PpCAT73h2g,Contestant_011,Halet Çambel ve Suat Fetgeri Aşeni hangi olimpiyatlarda eskrim dalında yarışarak Türkiye'yi temsil eden ilk kadın sporcular olmuşlardır?,"['A) 1924 Paris Olimpiyatları', 'B) 1936 Berlin Olimpiyatları', 'C) 1948 Londra Olimpiyatları', 'D) 1960 Roma Olimpiyatları']",B,C,Spor,8,100000.0,çift_cevap,False,True
-PpCAT73h2g,Contestant_012,Güzellik salonlarında müşterilere yapılan işlemler arasında genellikle hangisi olmaz?,"['A) Kalıcı makyaj', 'B) Cilt bakımı', 'C) Epilasyon', 'D) Fayans döşeme']",D,D,Genel Kültür,1,2000.0,yok,True,False
-PpCAT73h2g,Contestant_012,Sınav esnasında hangisi istenir ve beklenir?,"['A) Kahkaha gırgır yapılması', 'B) Gürültü patırtı çıkarılması', 'C) Sessiz olunması', 'D) Megafonla türkü söylenmesi']",C,C,Genel Kültür,2,5000.0,yok,True,False
-PpCAT73h2g,Contestant_012,Diksiyon çalışmalarında da kullanılan tekerlemede '3 tunç tas' dendikten sonra hangisi söylenir?,"['A) Pastörize günlük süt', 'B) Okkalı Türk kahvesi', 'C) Hakiki şalgam suyu', 'D) Has kayısı hoşafı']",D,D,Edebiyat,3,7500.0,seyirci,True,False
-PpCAT73h2g,Contestant_012,'İç yöresel' anlamlarına gelen kelime hangisidir?,"['A) Domestik', 'B) Jeolojik', 'C) Balistik', 'D) Gramatik']",A,A,Genel Kültür,4,10000.0,yok,True,False
-PpCAT73h2g,Contestant_012,Hangisi bir üzüm çeşidinin adıdır?,"['A) Gravyer', 'B) Sultani', 'C) Sele', 'D) Charleston']",B,B,Genel Kültür,5,20000.0,yok,True,False
-PpCAT73h2g,Contestant_012,Hangileri her yıl Stockholm ve Oslo'da verilir?,"['A) Grammy Ödülleri', 'B) Emmy Ödülleri', 'C) Oscar Ödülleri', 'D) Nobel Ödülleri']",D,D,Genel Kültür,6,30000.0,yok,True,False
-PpCAT73h2g,Contestant_012,Dinlediğiniz 'Freestyler' adlı şarkıyı seslendiren grup hangisidir?,"['A) Black Eyed Peas', 'B) The Prodigy', ""C) Bomfunk MC's"", 'D) Maroon 5']",C,C,Müzik,7,50000.0,telefon,True,False
-PpCAT73h2g,Contestant_012,Türk edebiyatının ilk fabl örneklerinden olan Şeyhi'nin 'Harname' adlı eseri hangisinin hangisine özenmesini konu alır?,"['A) Kaplumbağanın tavşana', 'B) Tavşanın eşeğe', 'C) Eşeğin öküze', 'D) Öküzün file']",C,C,Edebiyat,8,100000.0,yok,True,False
-PpCAT73h2g,Contestant_012,1959'dan günümüze kadarki Süper Lig tarihinde sezonu namağlup bitirip ikinci olan tek futbol takımı hangisidir?,"['A) Fenerbahçe', 'B) Trabzonspor', 'C) Beşiktaş', 'D) Galatasaray']",D,D,Spor,9,200000.0,"yarı_yarıya, çift_cevap",True,False
-PpCAT73h2g,Contestant_012,"Cumhuriyetin ilk yıllarında hangisini bulundurmak, kullanmak ve satmak yasaktı?","['A) Çakı', 'B) Çakmak', 'C) Ayna', 'D) Tarak']",B,,Tarih,10,300000.0,yok,False,False
-PpCAT73h2g,Contestant_013,'Hafif çiseliyor' yanıtını veren birine muhtemelen hangisi sorulmuştur?,"['A) Uyudun mu?', 'B) Saat kaç?', 'C) Dışarıda hava nasıl?', 'D) Kart geçiyor mu?']",C,C,Genel Kültür,1,2000.0,yok,True,False
-PpCAT73h2g,Contestant_013,Bebekleri göğsün ön kısmında omuza ve sırta bağlı olarak taşımayı sağlayan askıya ne ad verilir?,"['A) Su aygırı', 'B) Kanguru', 'C) Tembel hayvan', 'D) Kutup ayısı']",B,B,Genel Kültür,2,5000.0,yok,True,False
-PpCAT73h2g,Contestant_013,Hangisi restoran menülerinde rastlanabilen bir başlıktır?,"['A) Garsonun öğüdü', 'B) Kominin tercihi', 'C) Aşçının nasihatı', 'D) Şefin tavsiyesi']",D,D,Genel Kültür,3,7500.0,yok,True,False
-PpCAT73h2g,Contestant_013,Hangisi 'G.O.R.A.' adlı filmde geçen bir repliktir?,"['A) Merkürlü hoşlanmıyorum', 'B) Venüslü haz etmiyorum', 'C) Dünyalılardan tiksiniyorum', 'D) Marslılardan iğreniyorum']",C,C,Sanat,4,10000.0,seyirci,True,False
-PpCAT73h2g,Contestant_013,Dinlediğiniz 'Gangnam Style' adlı şarkıyı kim seslendirmektedir?,"['A) PSY', 'B) Lou Bega', 'C) Pitbull', 'D) The Weeknd']",A,A,Müzik,5,20000.0,yok,True,False
-PpCAT73h2g,Contestant_013,Hazar Denizi kıyısında yürüyüş yapan biri hangi başkentte olabilir?,"['A) Bakü', 'B) Moskova', 'C) Doha', 'D) Kopenhag']",A,A,Coğrafya,6,30000.0,yarı_yarıya,True,False
-PpCAT73h2g,Contestant_013,Gülhane Hattı Hümayunu hangisinin diğer adıdır?,"['A) 93 Harbi', 'B) Islahat Fermanı', 'C) Karlofça Antlaşması', 'D) Tanzimat Fermanı']",D,B,Tarih,7,50000.0,telefon,False,True
-PpCAT73h2g,Contestant_014,Bir bardağı su koyup bir dikişte içerseniz deyime göre hangisini yapmış olursunuz?,"['A) Tekzip', 'B) Prototip', 'C) Fondip', 'D) Stereotip']",C,C,Genel Kültür,1,2000.0,yok,True,False
-PpCAT73h2g,Contestant_014,"Vücutta omurganın, kaburgaların ve göğüs kemiği ile bunları saran kasların oluşturduğu kalp ve akciğerleri koruyan yapıya ne ad verilir?","['A) Göğüs kovanı', 'B) Göğüs kafesi', 'C) Göğüs kutusu', 'D) Göğüs kabini']",B,B,Bilim,2,5000.0,yok,True,False
-PpCAT73h2g,Contestant_014,İlköğretimdeki matematik derslerinde kümeler konusu işlenirken adı geçen kümeler arasında hangisi olmaz?,"['A) Eşit küme', 'B) Denk küme', 'C) Boş küme', 'D) Bomboş küme']",D,D,Matematik,3,7500.0,yok,True,False
-PpCAT73h2g,Contestant_014,Bir satranç karşılaşması sırasında bir tarafın tahtada sadece üç taşı kalmışsa bu üç taş hangisi olamaz?,"['A) Kale piyon şah', 'B) At vezir şah', 'C) At Kale Vezir', 'D) Piyon şah Vezir']",C,C,Genel Kültür,4,10000.0,yok,True,False
-PpCAT73h2g,Contestant_014,Takometre'nin diğer adı hangisidir?,"['A) Süre ölçer', 'B) Akım ölçer', 'C) Hız ölçer', 'D) Basınç ölçer']",C,D,Bilim,5,20000.0,seyirci,False,True
-PpCAT73h2g,Contestant_015,Taşıma kapasitesi aşılıp uyarı verdiğinde içindekilerin aralarına katılan son kişinin inmesini beklediği muhtemelen hangisidir?,"['A) Apartman dairesi', 'B) Yolcu uçağı', 'C) Şeref tribünü', 'D) Asansör']",D,D,Genel Kültür,1,2000.0,yok,True,False
-PpCAT73h2g,Contestant_015,Eğilmiş ve biri ötekinin arkasına tutunmuş birkaç kişinin üzerinden atlılar oynanan oyuna verilen ad nedir?,"['A) İnce at', 'B) Kalın deve', 'C) Uzun eşek', 'D) Kısa tavşan']",C,C,Genel Kültür,2,5000.0,yok,True,False
